Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 121, 36.3119, 50.2894, 50.1548, 5.4704, 10.8991, 10.8573, 19.7416, 39.3904, 39.2975
Test 121, 26.3957, 51.6258, 50.4601, 5.7662, 11.2301, 10.9278, 20.6295, 40.3957, 39.5324 
Train 122, 36.3284, 50.3242, 50.1960, 5.4797, 10.9207, 10.8821, 19.7466, 39.4035, 39.3139
Test 122, 26.4556, 51.6091, 50.3071, 5.8315, 11.2940, 10.9250, 20.6240, 40.3151, 39.3821 
Train 123, 36.3089, 50.2874, 50.1511, 5.4773, 10.9096, 10.8645, 19.7345, 39.3778, 39.2866
Test 123, 26.4925, 51.6936, 50.4022, 5.8972, 11.3357, 10.8770, 20.5953, 40.3580, 39.5252 
Train 124, 36.3304, 50.2602, 50.0711, 5.4696, 10.8973, 10.8554, 19.7551, 39.3629, 39.2157
Test 124, 26.3945, 51.4922, 50.1954, 5.7424, 11.1483, 10.8117, 20.6521, 40.3440, 39.3838 
Train 125, 36.3258, 50.2421, 50.0464, 5.4643, 10.8807, 10.8328, 19.7546, 39.3614, 39.2136
Test 125, 26.3246, 51.3896, 50.1301, 5.7299, 11.1503, 10.8408, 20.5947, 40.2393, 39.2892 
Train 126, 36.2908, 50.2645, 50.1354, 5.4651, 10.9013, 10.8722, 19.7317, 39.3633, 39.2632
Test 126, 26.5245, 51.7306, 50.4121, 5.8957, 11.3543, 10.9171, 20.6288, 40.3763, 39.4950 
Train 127, 36.3102, 50.2418, 50.0599, 5.4695, 10.8970, 10.8549, 19.7423, 39.3448, 39.2050
Test 127, 26.4678, 51.5897, 50.2438, 5.8213, 11.2348, 10.8269, 20.6465, 40.3549, 39.4169 
Train 128, 36.3310, 50.2227, 49.9963, 5.4676, 10.8931, 10.8510, 19.7570, 39.3296, 39.1452
Test 128, 26.4689, 51.6324, 50.3269, 5.8602, 11.2985, 10.8767, 20.6087, 40.3338, 39.4502 
Train 129, 36.2684, 50.2201, 50.0764, 5.4634, 10.8940, 10.8611, 19.7184, 39.3261, 39.2153
Test 129, 26.4083, 51.4411, 50.0657, 5.7986, 11.2378, 10.8783, 20.6096, 40.2033, 39.1874 
Train 130, 36.2761, 50.2075, 50.0451, 5.4551, 10.8760, 10.8418, 19.7298, 39.3315, 39.2033
Test 130, 26.4564, 51.6897, 50.4666, 5.7878, 11.2436, 10.9116, 20.6686, 40.4460, 39.5549 
Train 131, 36.2563, 50.2194, 50.0884, 5.4606, 10.8857, 10.8502, 19.7146, 39.3337, 39.2383
Test 131, 26.4992, 51.5917, 50.1850, 5.8440, 11.2653, 10.8426, 20.6552, 40.3264, 39.3425 
Train 132, 36.2450, 50.1887, 50.0465, 5.4548, 10.8760, 10.8423, 19.7107, 39.3127, 39.2041
Test 132, 26.2322, 51.4673, 50.4703, 5.6588, 11.0879, 10.8582, 20.5734, 40.3794, 39.6121 
Train 133, 36.2425, 50.1887, 50.0525, 5.4513, 10.8655, 10.8284, 19.7111, 39.3232, 39.2241
Test 133, 26.3665, 51.4350, 50.1369, 5.7351, 11.1401, 10.8101, 20.6314, 40.2949, 39.3268 
Train 134, 36.2300, 50.1909, 50.0700, 5.4531, 10.8775, 10.8487, 19.7028, 39.3134, 39.2212
Test 134, 26.2950, 51.4280, 50.2658, 5.6919, 11.1141, 10.8445, 20.6032, 40.3138, 39.4213 
Train 135, 36.2023, 50.1432, 50.0195, 5.4411, 10.8558, 10.8294, 19.6923, 39.2874, 39.1902
Test 135, 26.4205, 51.5714, 50.3018, 5.7803, 11.2258, 10.8909, 20.6401, 40.3456, 39.4109 
Train 136, 36.2135, 50.1368, 49.9933, 5.4388, 10.8400, 10.8023, 19.7014, 39.2968, 39.1910
Test 136, 26.5575, 51.5661, 50.0172, 5.9175, 11.3211, 10.8072, 20.6400, 40.2450, 39.2100 
Train 137, 36.2008, 50.1169, 49.9711, 5.4403, 10.8401, 10.7995, 19.6910, 39.2768, 39.1717
Test 137, 26.4767, 51.6298, 50.3061, 5.8251, 11.2117, 10.7732, 20.6516, 40.4181, 39.5330 
Train 138, 36.2016, 50.1109, 49.9607, 5.4344, 10.8310, 10.7931, 19.6962, 39.2800, 39.1676
Test 138, 26.2789, 51.2377, 49.9177, 5.6426, 11.0280, 10.7707, 20.6362, 40.2097, 39.1469 
Train 139, 36.1980, 50.1388, 50.0182, 5.4355, 10.8373, 10.8037, 19.6942, 39.3015, 39.2145
Test 139, 26.1833, 51.2037, 50.0409, 5.5758, 10.9886, 10.8256, 20.6075, 40.2151, 39.2153 
Train 140, 36.1944, 50.0952, 49.9390, 5.4333, 10.8298, 10.7930, 19.6924, 39.2654, 39.1460
Test 140, 26.2863, 51.3168, 50.0610, 5.7253, 11.1348, 10.8191, 20.5609, 40.1819, 39.2419 
Train 141, 36.2011, 50.1011, 49.9433, 5.4309, 10.8350, 10.8083, 19.6985, 39.2661, 39.1351
Test 141, 26.2353, 51.3189, 50.1671, 5.6384, 11.0630, 10.8492, 20.5969, 40.2559, 39.3179 
Train 142, 36.1747, 50.0590, 49.8983, 5.4230, 10.7996, 10.7532, 19.6867, 39.2593, 39.1452
Test 142, 26.3387, 51.3720, 50.0667, 5.7278, 11.1239, 10.7922, 20.6109, 40.2481, 39.2745 
Train 143, 36.1974, 50.0552, 49.8613, 5.4242, 10.8185, 10.7887, 19.7004, 39.2367, 39.0726
Test 143, 26.2859, 51.3368, 50.1016, 5.6159, 11.0173, 10.8028, 20.6700, 40.3195, 39.2988 
Train 144, 36.1572, 50.0565, 49.9192, 5.4175, 10.8016, 10.7681, 19.6794, 39.2549, 39.1510
Test 144, 26.2943, 51.2499, 49.9112, 5.6774, 11.0373, 10.7197, 20.6169, 40.2126, 39.1915 
Train 145, 36.1723, 50.0304, 49.8483, 5.4165, 10.7849, 10.7368, 19.6898, 39.2455, 39.1115
Test 145, 26.5326, 51.5138, 49.9624, 5.8677, 11.2578, 10.7802, 20.6649, 40.2560, 39.1822 
