Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s1 
Train 27, 30.6370, 60.7908, 60.3076, 8.0175, 16.2373, 16.4396, 22.6195, 44.5535, 43.8680
Test 27, 42.1384, 72.2385, 60.2003, 8.3484, 16.5190, 16.3413, 33.7900, 55.7195, 43.8590 
Train 28, 30.3425, 60.1467, 59.6082, 7.9390, 16.0582, 16.2385, 22.4036, 44.0884, 43.3697
Test 28, 42.4171, 72.0883, 59.3426, 8.2878, 16.3781, 16.1805, 34.1293, 55.7103, 43.1621 
Train 29, 30.0341, 59.5126, 58.9570, 7.8738, 15.9163, 16.0850, 22.1602, 43.5962, 42.8720
Test 29, 42.3331, 71.7623, 58.8584, 8.1737, 16.1783, 16.0093, 34.1594, 55.5840, 42.8491 
Train 30, 29.7188, 58.9197, 58.4018, 7.8050, 15.7713, 15.9326, 21.9139, 43.1485, 42.4692
Test 30, 42.2755, 71.5624, 58.5737, 8.0792, 16.0065, 15.8545, 34.1963, 55.5559, 42.7192 
Train 31, 29.4420, 58.3214, 57.7588, 7.7336, 15.6213, 15.7754, 21.7085, 42.7001, 41.9834
Test 31, 42.3402, 71.1372, 57.5939, 7.9939, 15.8394, 15.6911, 34.3463, 55.2978, 41.9028 
Train 32, 29.1284, 57.7697, 57.2825, 7.6683, 15.4754, 15.6143, 21.4601, 42.2942, 41.6682
Test 32, 42.4165, 70.9886, 57.1442, 7.9424, 15.7125, 15.5402, 34.4741, 55.2761, 41.6041 
Train 33, 28.8949, 57.2194, 56.6489, 7.6158, 15.3466, 15.4617, 21.2791, 41.8728, 41.1873
Test 33, 42.4258, 70.8371, 56.8225, 7.9047, 15.6198, 15.4302, 34.5211, 55.2172, 41.3923 
Train 34, 28.6144, 56.8155, 56.4022, 7.5617, 15.2315, 15.3395, 21.0527, 41.5840, 41.0627
Test 34, 42.4209, 70.6201, 56.3983, 7.8657, 15.4968, 15.2623, 34.5553, 55.1233, 41.1360 
Train 35, 28.4716, 56.4659, 55.9886, 7.5084, 15.1123, 15.2078, 20.9632, 41.3536, 40.7808
Test 35, 42.7656, 70.7417, 55.9523, 7.8362, 15.4230, 15.1737, 34.9294, 55.3187, 40.7786 
Train 36, 28.2541, 55.9511, 55.3940, 7.4733, 15.0326, 15.1185, 20.7808, 40.9185, 40.2754
Test 36, 42.6543, 70.4821, 55.6556, 7.7712, 15.3133, 15.0842, 34.8831, 55.1688, 40.5713 
Train 37, 28.0987, 55.7254, 55.2532, 7.4322, 14.9455, 15.0266, 20.6665, 40.7799, 40.2267
Test 37, 42.7852, 70.4280, 55.2857, 7.7419, 15.2293, 14.9747, 35.0432, 55.1987, 40.3110 
Train 38, 27.8833, 55.3333, 54.8999, 7.3937, 14.8568, 14.9261, 20.4896, 40.4765, 39.9738
Test 38, 42.5108, 69.8447, 54.6678, 7.7183, 15.1524, 14.8683, 34.7926, 54.6923, 39.7995 
Train 39, 27.7773, 55.0708, 54.5870, 7.3678, 14.7849, 14.8340, 20.4095, 40.2859, 39.7529
Test 39, 43.0033, 70.1823, 54.3580, 7.6572, 15.0659, 14.8173, 35.3461, 55.1164, 39.5407 
Train 40, 27.6091, 54.7398, 54.2614, 7.3344, 14.7294, 14.7900, 20.2747, 40.0104, 39.4714
Test 40, 42.7289, 69.8421, 54.2264, 7.6017, 14.9791, 14.7548, 35.1272, 54.8630, 39.4716 
Train 41, 27.4393, 54.4502, 54.0220, 7.2856, 14.6411, 14.7109, 20.1536, 39.8091, 39.3110
Test 41, 42.6372, 69.6494, 54.0246, 7.5638, 14.9004, 14.6733, 35.0734, 54.7490, 39.3512 
Train 42, 27.3487, 54.2711, 53.8448, 7.2650, 14.5810, 14.6322, 20.0838, 39.6901, 39.2126
Test 42, 42.7647, 69.7797, 54.0300, 7.5405, 14.8467, 14.6124, 35.2242, 54.9330, 39.4176 
Train 43, 27.2275, 54.0432, 53.6314, 7.2276, 14.5106, 14.5659, 19.9999, 39.5326, 39.0656
Test 43, 42.8233, 69.7382, 53.8299, 7.5124, 14.7766, 14.5285, 35.3109, 54.9616, 39.3014 
Train 44, 27.1401, 53.7798, 53.2795, 7.1983, 14.4355, 14.4744, 19.9417, 39.3443, 38.8051
Test 44, 42.8864, 69.5887, 53.4046, 7.4582, 14.6889, 14.4614, 35.4281, 54.8997, 38.9432 
Train 45, 26.9574, 53.5942, 53.2737, 7.1750, 14.3931, 14.4363, 19.7824, 39.2011, 38.8375
Test 45, 42.7072, 69.4232, 53.4320, 7.4195, 14.6325, 14.4261, 35.2877, 54.7907, 39.0059 
Train 46, 26.8572, 53.3587, 53.0030, 7.1450, 14.3316, 14.3732, 19.7122, 39.0271, 38.6298
Test 46, 42.8216, 69.2379, 52.8326, 7.4299, 14.5977, 14.3355, 35.3916, 54.6402, 38.4971 
Train 47, 26.7806, 53.0937, 52.6262, 7.1144, 14.2728, 14.3167, 19.6662, 38.8209, 38.3095
Test 47, 42.8373, 69.1564, 52.6382, 7.3892, 14.5419, 14.3054, 35.4481, 54.6145, 38.3328 
Train 48, 26.7144, 52.9799, 52.5310, 7.0938, 14.2239, 14.2602, 19.6206, 38.7560, 38.2708
Test 48, 42.8320, 69.1975, 52.7310, 7.3595, 14.4774, 14.2359, 35.4725, 54.7201, 38.4952 
Train 49, 26.5782, 52.8247, 52.4929, 7.0653, 14.1775, 14.2245, 19.5129, 38.6472, 38.2684
Test 49, 42.8974, 69.2865, 52.7781, 7.3362, 14.4380, 14.2036, 35.5612, 54.8485, 38.5745 
Train 50, 26.5174, 52.6934, 52.3520, 7.0404, 14.1210, 14.1612, 19.4771, 38.5725, 38.1908
Test 50, 42.7385, 68.8071, 52.1373, 7.2972, 14.3635, 14.1327, 35.4413, 54.4436, 38.0046 
Train 51, 26.4551, 52.5442, 52.1782, 7.0246, 14.0799, 14.1108, 19.4305, 38.4642, 38.0674
Test 51, 42.7107, 68.8759, 52.3304, 7.2927, 14.3478, 14.1104, 35.4180, 54.5281, 38.2201 
Train 52, 26.3315, 52.3634, 52.0638, 7.0043, 14.0361, 14.0636, 19.3272, 38.3273, 38.0002
Test 52, 42.7657, 68.8141, 52.0968, 7.2854, 14.3053, 14.0399, 35.4803, 54.5088, 38.0570 
Train 53, 26.2293, 52.1269, 51.7953, 6.9841, 13.9859, 14.0036, 19.2452, 38.1410, 37.7917
