Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Test 124, 28.3044, 55.4588, 54.3089, 5.7866, 11.0159, 10.4586, 22.5177, 44.4429, 43.8503 
Train 125, 43.4055, 59.8410, 57.7707, 6.0725, 11.8605, 11.5759, 24.8832, 47.9806, 46.1948
Test 125, 28.2583, 55.6847, 54.8528, 5.6705, 10.9673, 10.5935, 22.5878, 44.7175, 44.2594 
Train 126, 41.9721, 60.6766, 61.4617, 5.9022, 11.5092, 11.2139, 24.0436, 49.1675, 50.2477
Test 126, 28.1049, 55.5075, 54.8052, 5.5589, 10.7887, 10.4596, 22.5460, 44.7188, 44.3456 
Train 127, 38.8912, 57.9483, 60.1116, 5.9079, 11.5816, 11.3475, 21.9846, 46.3667, 48.7642
Test 127, 28.5023, 55.7627, 54.5208, 5.9057, 11.1368, 10.4620, 22.5966, 44.6259, 44.0588 
Train 128, 48.3627, 63.7191, 59.0371, 5.8906, 11.5786, 11.3760, 28.3099, 52.1404, 47.6611
Test 128, 28.2684, 55.8429, 55.1490, 5.6932, 10.9042, 10.4219, 22.5752, 44.9388, 44.7271 
Train 129, 41.8277, 62.1456, 64.5059, 6.0357, 11.5176, 10.9637, 23.8569, 50.6280, 53.5422
Test 129, 28.1423, 55.6248, 54.9650, 5.6041, 10.8191, 10.4300, 22.5382, 44.8057, 44.5350 
Train 130, 39.7976, 59.2120, 61.2717, 6.1465, 11.6301, 10.9673, 22.4297, 47.5819, 50.3044
Test 130, 28.4041, 55.8076, 54.8070, 5.8836, 11.0980, 10.4290, 22.5206, 44.7096, 44.3781 
Train 131, 42.2076, 59.0723, 57.8572, 6.0281, 11.6015, 11.1468, 24.1155, 47.4707, 46.7104
Test 131, 28.4748, 55.9133, 54.8770, 5.8329, 11.1032, 10.5407, 22.6419, 44.8100, 44.3363 
Train 132, 41.7799, 59.9269, 60.3509, 5.7081, 11.4141, 11.4122, 24.0434, 48.5128, 48.9388
Test 132, 28.1019, 55.6758, 55.1477, 5.5935, 10.8043, 10.4216, 22.5085, 44.8715, 44.7260 
