[Epoch 1] 9.4085, 9.7010, 10.0769, 10.7244, 11.3007, 12.2631, 13.6572, 15.6572, 19.3372, 23.7082, 39.8678
 pred 	20.6679, 21.1721, 21.8182, 22.8162, 23.8536, 25.5251, 27.8613, 31.1418, 37.1434, 43.3522, 77.7642
 var 	22.5188, 22.9424, 23.4825, 24.1836, 25.1057, 26.5239, 28.4082, 30.9693, 35.6124, 39.2879, 75.7928
(test)	9.3083, 9.6235, 10.0309, 10.6971, 11.2605, 12.2235, 13.6255, 15.6290, 19.2098, 23.6515, 39.4088
 pred 	20.3596, 20.8820, 21.5547, 22.5891, 23.5934, 25.3318, 27.7401, 31.0880, 37.1525, 43.4286, 77.4719
 var 	22.1025, 22.5169, 23.0475, 23.7841, 24.6658, 26.2166, 28.2292, 30.9181, 35.8854, 39.5542, 76.1262

[Epoch 2] 9.2729, 9.6128, 10.0027, 10.6593, 11.2349, 12.2028, 13.6115, 15.6220, 19.2963, 23.6454, 39.8756
 pred 	20.0667, 20.6236, 21.3029, 22.3294, 23.3610, 25.1305, 27.6303, 31.0960, 37.2675, 43.5139, 78.5173
 var 	21.5876, 22.0216, 22.6003, 23.3402, 24.2521, 25.8554, 28.0377, 30.9480, 35.9425, 39.7370, 77.2834
(test)	9.2263, 9.5747, 9.9657, 10.6286, 11.2032, 12.1832, 13.6073, 15.5746, 19.1389, 23.5344, 39.2015
 pred 	19.8468, 20.4136, 21.1209, 22.1609, 23.2135, 25.0416, 27.5696, 31.1137, 37.1623, 43.4826, 77.8282
 var 	21.2409, 21.6778, 22.3104, 23.0645, 24.0204, 25.7167, 27.9246, 31.0783, 36.0469, 39.8964, 77.2535

[Epoch 3] 9.1715, 9.5405, 9.9346, 10.5925, 11.1697, 12.1396, 13.5530, 15.5651, 19.2682, 23.5654, 39.8618
 pred 	19.6443, 20.2391, 20.9355, 21.9943, 23.0332, 24.8642, 27.4761, 31.0768, 37.4050, 43.6687, 78.9406
 var 	20.9457, 21.3973, 22.0019, 22.8037, 23.7271, 25.4493, 27.8461, 31.0234, 36.2736, 40.2065, 78.1577
(test)	9.1421, 9.5209, 9.9125, 10.5963, 11.1841, 12.1619, 13.5637, 15.5864, 19.1013, 23.5211, 39.2897
 pred 	19.5443, 20.1702, 20.8797, 21.9763, 23.0586, 24.9058, 27.5232, 31.1526, 37.4194, 43.7668, 78.8307
 var 	20.8044, 21.2986, 21.9344, 22.7600, 23.7491, 25.4877, 27.9188, 31.1325, 36.6361, 40.4914, 79.0820

[Epoch 4] 9.1149, 9.4955, 9.8934, 10.5608, 11.1330, 12.1188, 13.5314, 15.5420, 19.2295, 23.5448, 39.8584
 pred 	19.3614, 19.9790, 20.6843, 21.7867, 22.8267, 24.7279, 27.4068, 31.0612, 37.4833, 43.8370, 79.1808
 var 	20.4929, 20.9671, 21.5819, 22.4518, 23.3874, 25.2182, 27.7507, 31.0384, 36.5078, 40.5843, 78.6448
