[Epoch 1] 13.9588, 13.9247, 13.9206, 14.0163, 14.4296, 15.3883, 17.4688, 18.4473, 21.1283, 24.9322, 43.8952
 pred 	23.5316, 24.2231, 24.8740, 25.4088, 26.6815, 28.5547, 32.2556, 33.9496, 38.1032, 43.7576, 63.7569
 var 	19.1456, 20.5968, 21.9068, 22.7851, 24.5039, 26.3328, 29.5736, 31.0046, 33.9499, 37.6508, 39.7233
(test)	10.1263, 10.1459, 10.1793, 10.6290, 11.3002, 12.4441, 14.4169, 15.6525, 19.1774, 23.4718, 41.5400
 pred 	20.1253, 20.5430, 20.9733, 21.9337, 23.4389, 25.8707, 30.0383, 32.3577, 38.8904, 46.4224, 65.7686
 var 	19.9980, 20.7942, 21.5880, 22.6095, 24.2773, 26.8532, 31.2429, 33.4105, 39.4260, 45.9012, 48.4573

[Epoch 2] 9.7270, 9.8360, 9.9662, 10.5118, 11.1891, 12.2682, 14.1461, 15.5962, 19.2718, 23.5011, 41.8060
 pred 	19.3781, 19.7958, 20.2779, 21.3823, 22.8506, 25.1487, 29.0948, 31.8909, 39.3783, 47.7329, 67.6143
 var 	19.3022, 19.9194, 20.6234, 21.7410, 23.3230, 25.7609, 29.8975, 32.5894, 40.2131, 48.4636, 51.6166
(test)	9.2943, 9.5625, 9.8714, 10.4593, 11.1219, 12.1264, 13.9492, 15.4983, 19.1388, 23.4897, 41.0482
 pred 	18.6311, 19.2425, 19.9556, 21.1036, 22.5406, 24.7078, 28.4232, 31.5361, 39.3438, 48.4803, 67.8393
 var 	18.6736, 19.3601, 20.1684, 21.2885, 22.8374, 25.1629, 28.9479, 32.0757, 40.4101, 49.9812, 53.5821

[Epoch 3] 9.1373, 9.4903, 9.8324, 10.4160, 11.0878, 12.0915, 13.7616, 15.5072, 19.2151, 23.5090, 41.3577
 pred 	18.2577, 18.9947, 19.7635, 20.9313, 22.3658, 24.4526, 27.9218, 31.3868, 39.2320, 48.7215, 68.8447
 var 	18.2406, 19.0088, 19.8623, 21.0306, 22.5560, 24.7223, 28.3204, 31.7592, 40.0338, 50.4250, 54.9740
(test)	9.0656, 9.4494, 9.8109, 10.4014, 11.0779, 12.0680, 13.6184, 15.4749, 19.0456, 23.4630, 40.8383
 pred 	18.0181, 18.8133, 19.6021, 20.8124, 22.2431, 24.2822, 27.5397, 31.2641, 39.0830, 48.6278, 68.7758
 var 	17.9051, 18.7278, 19.5823, 20.8218, 22.3305, 24.4285, 27.8426, 31.5785, 40.0749, 50.3296, 55.8749

[Epoch 4] 9.0239, 9.3987, 9.7819, 10.3640, 11.0450, 12.0282, 13.5403, 15.4829, 19.2015, 23.4858, 40.9604
 pred 	17.9064, 18.7108, 19.5331, 20.7316, 22.1553, 24.1781, 27.2737, 31.1581, 39.0220, 48.5328, 69.6789
 var 	17.7651, 18.6242, 19.5025, 20.7353, 22.2207, 24.2999, 27.4667, 31.3504, 39.6410, 50.0942, 57.4370
(test)	8.9826, 9.3657, 9.7475, 10.3403, 11.0418, 11.9939, 13.4655, 15.4376, 19.0333, 23.4780, 40.1313
 pred 	17.8101, 18.6346, 19.4597, 20.6544, 22.0735, 24.0745, 27.0434, 31.0106, 38.7888, 48.3425, 69.7963
 var 	17.6549, 18.5377, 19.4244, 20.6283, 22.0635, 24.1613, 27.1558, 31.1461, 39.5109, 49.7291, 59.3300

[Epoch 5] 8.9596, 9.3390, 9.7448, 10.3342, 11.0047, 11.9876, 13.4573, 15.4490, 19.1689, 23.4631, 40.4169
 pred 	17.7763, 18.5885, 19.4367, 20.6280, 22.0112, 24.0178, 26.9477, 30.9040, 38.6540, 47.9099, 71.1290
 var 	17.6335, 18.4990, 19.3839, 20.5876, 22.0131, 24.0603, 26.9807, 30.9099, 38.9703, 48.8937, 61.4242
(test)	8.9260, 9.3160, 9.7187, 10.3084, 10.9824, 11.9645, 13.4459, 15.4394, 19.0881, 23.3656, 39.8134
 pred 	17.7151, 18.5279, 19.3789, 20.5794, 21.9436, 23.9204, 26.8214, 30.7468, 38.3176, 47.3710, 71.8083
 var 	17.5781, 18.4239, 19.3203, 20.5419, 21.9225, 23.9120, 26.7510, 30.6148, 38.4590, 48.0108, 63.9899

[Epoch 6] 8.9068, 9.2918, 9.7037, 10.2927, 10.9724, 11.9567, 13.4064, 15.4440, 19.1433, 23.4014, 39.9114
 pred 	17.6941, 18.5034, 19.3690, 20.5622, 21.9311, 23.9049, 26.7594, 30.7201, 38.2683, 47.1785, 73.1116
 var 	17.5746, 18.4231, 19.3307, 20.5389, 21.9173, 23.8963, 26.7060, 30.5522, 38.2499, 47.5542, 66.4004
(test)	8.8786, 9.2589, 9.6814, 10.2800, 10.9562, 11.9531, 13.4306, 15.4328, 19.0707, 23.4487, 39.2128
 pred 	17.6391, 18.4517, 19.3174, 20.5309, 21.8904, 23.8293, 26.6851, 30.5919, 38.0195, 46.9057, 73.5569
 var 	17.5209, 18.3855, 19.2721, 20.5018, 21.8684, 23.7524, 26.5090, 30.3182, 37.8975, 46.9141, 68.6883

[Epoch 7] 8.8588, 9.2477, 9.6622, 10.2569, 10.9315, 11.9233, 13.3783, 15.4126, 19.1100, 23.3975, 39.6719
 pred 	17.6152, 18.4293, 19.2819, 20.4956, 21.8407, 23.7990, 26.6198, 30.5789, 38.0126, 46.6769, 74.7154
 var 	17.5130, 18.3632, 19.2393, 20.4775, 21.8183, 23.7515, 26.4831, 30.3326, 37.8054, 46.5589, 70.0871
(test)	8.8412, 9.2322, 9.6538, 10.2564, 10.9282, 11.9329, 13.3984, 15.3711, 19.0020, 23.3865, 39.1157
 pred 	17.5932, 18.4055, 19.2679, 20.4865, 21.8530, 23.7934, 26.6590, 30.5301, 37.9445, 46.6457, 75.0887
 var 	17.5040, 18.3467, 19.2281, 20.4602, 21.8495, 23.7210, 26.5210, 30.3178, 37.8849, 46.5184, 71.9461

[Epoch 8] 8.8293, 9.2204, 9.6412, 10.2284, 10.9062, 11.8961, 13.3646, 15.3955, 19.0968, 23.3257, 39.5947
 pred 	17.5673, 18.3836, 19.2497, 20.4349, 21.7885, 23.7525, 26.5800, 30.4939, 37.9060, 46.4768, 75.6897
 var 	17.4761, 18.3264, 19.2170, 20.4131, 21.7645, 23.7127, 26.4308, 30.1968, 37.6184, 46.3023, 72.1900
(test)	8.8230, 9.2125, 9.6351, 10.2363, 10.9283, 11.8891, 13.3549, 15.3504, 19.0420, 23.3308, 39.1736
