[Epoch 1] 16.1694, 16.1763, 16.1743, 16.2125, 16.5058, 17.2625, 18.0151, 19.1463, 22.2761, 25.9076, 41.9285
 pred 	33.4655, 33.7855, 34.1561, 34.5595, 35.2195, 36.3702, 37.5814, 39.2141, 43.2782, 48.1452, 67.0305
 var 	34.5922, 35.2184, 35.9636, 36.6941, 37.4276, 38.2155, 39.1327, 40.1357, 42.0042, 44.4752, 50.2040
(test)	12.4018, 12.3936, 12.4647, 12.7538, 13.2248, 14.2838, 15.3154, 16.9385, 20.5249, 24.5009, 39.6874
 pred 	30.7666, 31.0801, 31.4322, 32.7748, 33.8544, 35.2819, 37.0184, 39.5624, 44.4086, 50.2785, 70.0473
 var 	36.7296, 37.3729, 37.9350, 40.0420, 41.2591, 41.9962, 43.4060, 45.2478, 47.7673, 51.5551, 60.7198

[Epoch 2] 11.3444, 11.4090, 11.4432, 11.9736, 12.5638, 13.5199, 14.7257, 16.6304, 20.1709, 24.2721, 40.0865
 pred 	26.8776, 27.2021, 27.4263, 28.9556, 30.3644, 31.7943, 33.8580, 37.0125, 41.9532, 47.9031, 72.3246
 var 	31.0665, 31.5863, 31.9661, 33.9641, 35.6011, 36.5487, 38.2646, 40.7642, 43.5647, 47.2620, 64.4762
(test)	10.7081, 10.8167, 10.9029, 11.4590, 12.0766, 13.0119, 14.2518, 16.2585, 19.7341, 24.0279, 39.5216
 pred 	25.0757, 25.4394, 25.7034, 26.8947, 28.3307, 29.7046, 31.5317, 34.6469, 39.6611, 45.6583, 72.7504
 var 	28.7352, 29.2454, 29.6011, 30.8715, 32.5082, 33.3853, 34.5597, 36.7768, 39.8542, 43.2609, 66.4575

[Epoch 3] 10.4162, 10.5325, 10.6901, 11.2615, 11.8551, 12.8131, 14.0860, 16.0999, 19.7057, 24.0474, 40.0586
 pred 	24.1942, 24.5409, 24.9173, 25.9486, 27.1449, 28.5947, 30.5261, 33.5033, 38.6989, 44.6938, 74.2675
 var 	27.5559, 28.0167, 28.4543, 29.3743, 30.5796, 31.5632, 32.8802, 34.8066, 37.9865, 41.2928, 68.4179
(test)	10.0909, 10.2220, 10.5081, 11.1071, 11.7394, 12.6575, 13.9567, 15.9683, 19.5191, 23.9125, 39.5845
 pred 	23.3622, 23.7628, 24.2658, 25.3137, 26.4781, 27.9078, 29.8066, 32.7598, 37.9525, 43.9663, 74.7385
 var 	26.5426, 27.0814, 27.5153, 28.4132, 29.4774, 30.5007, 31.6998, 33.5831, 36.8668, 40.1077, 70.3079

[Epoch 4] 9.9412, 10.0838, 10.3872, 11.0006, 11.5878, 12.5463, 13.8787, 15.8951, 19.5392, 23.9378, 39.9865
 pred 	22.6790, 23.0598, 23.5949, 24.5728, 25.6726, 27.1474, 29.1325, 32.1081, 37.5347, 43.6459, 75.6774
 var 	25.4756, 25.9520, 26.4155, 27.1445, 28.1695, 29.2023, 30.5076, 32.4258, 35.9909, 39.4162, 71.3818
(test)	9.7652, 9.9364, 10.3018, 10.9252, 11.5148, 12.4618, 13.8362, 15.7916, 19.3507, 23.8158, 39.2533
 pred 	22.0793, 22.4552, 23.0821, 24.0780, 25.2119, 26.7155, 28.7460, 31.6950, 37.1512, 43.3608, 75.7758
 var 	24.6281, 25.0375, 25.5606, 26.3056, 27.3942, 28.5074, 29.8196, 31.8068, 35.6009, 39.0900, 73.0449

[Epoch 5] 9.6335, 9.8494, 10.1983, 10.8297, 11.4109, 12.3768, 13.7311, 15.7625, 19.4316, 23.8112, 39.9119
 pred 	21.5011, 21.9303, 22.5340, 23.5200, 24.5803, 26.1446, 28.2824, 31.3780, 37.1071, 43.2671, 76.8246
 var 	23.7352, 24.1619, 24.6716, 25.3807, 26.3386, 27.5356, 29.1026, 31.2310, 35.3510, 38.9119, 73.8255
(test)	9.4855, 9.7371, 10.1296, 10.7718, 11.3833, 12.3248, 13.7060, 15.7152, 19.3566, 23.7528, 39.3004
 pred 	20.9968, 21.4958, 22.1462, 23.1605, 24.2691, 25.8640, 28.0788, 31.2308, 37.1118, 43.3066, 77.0464
 var 	23.0226, 23.5173, 24.0332, 24.7774, 25.7717, 27.0783, 28.7456, 31.0311, 35.5105, 39.1076, 75.4921

[Epoch 6] 9.4085, 9.7010, 10.0769, 10.7244, 11.3007, 12.2631, 13.6572, 15.6572, 19.3372, 23.7082, 39.8678
 pred 	20.6679, 21.1721, 21.8182, 22.8162, 23.8536, 25.5251, 27.8613, 31.1418, 37.1434, 43.3522, 77.7642
 var 	22.5188, 22.9424, 23.4825, 24.1836, 25.1057, 26.5239, 28.4082, 30.9693, 35.6124, 39.2879, 75.7928
(test)	9.3083, 9.6235, 10.0309, 10.6971, 11.2605, 12.2235, 13.6255, 15.6290, 19.2098, 23.6515, 39.4088
 pred 	20.3596, 20.8820, 21.5547, 22.5891, 23.5934, 25.3318, 27.7401, 31.0880, 37.1525, 43.4286, 77.4719
 var 	22.1025, 22.5169, 23.0475, 23.7841, 24.6658, 26.2166, 28.2292, 30.9181, 35.8854, 39.5542, 76.1262

[Epoch 7] 9.2729, 9.6128, 10.0027, 10.6593, 11.2349, 12.2028, 13.6115, 15.6220, 19.2963, 23.6454, 39.8756
 pred 	20.0667, 20.6236, 21.3029, 22.3294, 23.3610, 25.1305, 27.6303, 31.0960, 37.2675, 43.5139, 78.5173
 var 	21.5876, 22.0216, 22.6003, 23.3402, 24.2521, 25.8554, 28.0377, 30.9480, 35.9425, 39.7370, 77.2834
(test)	9.2263, 9.5747, 9.9657, 10.6286, 11.2032, 12.1832, 13.6073, 15.5746, 19.1389, 23.5344, 39.2015
 pred 	19.8468, 20.4136, 21.1209, 22.1609, 23.2135, 25.0416, 27.5696, 31.1137, 37.1623, 43.4826, 77.8282
 var 	21.2409, 21.6778, 22.3104, 23.0645, 24.0204, 25.7167, 27.9246, 31.0783, 36.0469, 39.8964, 77.2535

[Epoch 8] 9.1715, 9.5405, 9.9346, 10.5925, 11.1697, 12.1396, 13.5530, 15.5651, 19.2682, 23.5654, 39.8618
 pred 	19.6443, 20.2391, 20.9355, 21.9943, 23.0332, 24.8642, 27.4761, 31.0768, 37.4050, 43.6687, 78.9406
 var 	20.9457, 21.3973, 22.0019, 22.8037, 23.7271, 25.4493, 27.8461, 31.0234, 36.2736, 40.2065, 78.1577
(test)	9.1421, 9.5209, 9.9125, 10.5963, 11.1841, 12.1619, 13.5637, 15.5864, 19.1013, 23.5211, 39.2897
 pred 	19.5443, 20.1702, 20.8797, 21.9763, 23.0586, 24.9058, 27.5232, 31.1526, 37.4194, 43.7668, 78.8307
 var 	20.8044, 21.2986, 21.9344, 22.7600, 23.7491, 25.4877, 27.9188, 31.1325, 36.6361, 40.4914, 79.0820

[Epoch 9] 9.1149, 9.4955, 9.8934, 10.5608, 11.1330, 12.1188, 13.5314, 15.5420, 19.2295, 23.5448, 39.8584
 pred 	19.3614, 19.9790, 20.6843, 21.7867, 22.8267, 24.7279, 27.4068, 31.0612, 37.4833, 43.8370, 79.1808
 var 	20.4929, 20.9671, 21.5819, 22.4518, 23.3874, 25.2182, 27.7507, 31.0384, 36.5078, 40.5843, 78.6448
(test)	9.0960, 9.4863, 9.8878, 10.5549, 11.1299, 12.1176, 13.5986, 15.5563, 19.1790, 23.4277, 39.4269
 pred 	19.2739, 19.8924, 20.6143, 21.7373, 22.8207, 24.7143, 27.4391, 31.0562, 37.5152, 43.8539, 79.1767
 var 	20.3558, 20.8122, 21.4530, 22.3648, 23.3817, 25.1934, 27.6810, 30.9998, 36.6725, 40.8525, 79.4995

[Epoch 10] 9.0691, 9.4550, 9.8543, 10.5226, 11.0997, 12.0869, 13.5103, 15.5108, 19.1934, 23.4873, 39.8424
 pred 	19.1662, 19.7983, 20.5174, 21.6385, 22.7058, 24.6125, 27.3195, 31.0381, 37.5143, 43.8958, 79.2834
 var 	20.1943, 20.6866, 21.3263, 22.2319, 23.2123, 25.0511, 27.6184, 31.0546, 36.6418, 40.8170, 78.8820
(test)	9.0838, 9.4747, 9.8702, 10.5342, 11.1360, 12.0961, 13.5218, 15.5549, 19.1293, 23.4513, 39.3796
 pred 	19.1292, 19.7813, 20.5056, 21.6425, 22.7531, 24.5897, 27.3427, 31.0598, 37.5076, 43.9014, 79.4578
 var 	20.0907, 20.6131, 21.2708, 22.2165, 23.2342, 24.9872, 27.6418, 31.0099, 36.7566, 40.9002, 80.1564

[Epoch 11] 9.0454, 9.4300, 9.8348, 10.4992, 11.0753, 12.0473, 13.4906, 15.4925, 19.1650, 23.4632, 39.8209
 pred 	19.0175, 19.6603, 20.3827, 21.5312, 22.6079, 24.5246, 27.2637, 31.0049, 37.5110, 43.9650, 79.3084
 var 	19.9441, 20.4607, 21.0958, 22.0640, 23.0652, 24.9545, 27.5462, 31.0249, 36.6919, 41.0036, 78.9750
(test)	9.0104, 9.4125, 9.8099, 10.4902, 11.0734, 12.0390, 13.4587, 15.4922, 19.0733, 23.4171, 39.2909
 pred 	18.9337, 19.6033, 20.3238, 21.5036, 22.5830, 24.4769, 27.2250, 30.8795, 37.4639, 43.9121, 78.7792
 var 	19.8467, 20.3816, 21.0278, 22.0267, 23.0191, 24.8758, 27.5325, 30.7746, 36.7811, 40.9899, 78.9766

[Epoch 12] 9.0142, 9.4044, 9.8087, 10.4757, 11.0452, 12.0376, 13.4746, 15.4695, 19.1754, 23.4229, 39.7544
 pred 	18.8662, 19.5292, 20.2520, 21.4167, 22.5061, 24.4204, 27.1902, 30.9186, 37.5827, 44.0653, 79.2941
 var 	19.7040, 20.2496, 20.8865, 21.8821, 22.9219, 24.7656, 27.4311, 30.8980, 36.8146, 41.2848, 79.0794
(test)	8.9948, 9.3998, 9.8087, 10.4747, 11.0670, 12.0450, 13.4950, 15.4841, 19.0769, 23.3957, 39.2436
