Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Test 54, 29.0656, 56.0200, 53.9087, 6.8768, 12.6013, 11.4489, 22.1888, 43.4187, 42.4597 
Train 55, 43.1335, 60.3516, 58.6834, 6.7685, 12.6679, 11.7988, 24.2414, 47.6837, 46.8845
Test 55, 29.2064, 56.1442, 53.8756, 7.0152, 12.7333, 11.4362, 22.1912, 43.4109, 42.4394 
Train 56, 42.7416, 59.7058, 57.6949, 7.0969, 13.1935, 12.1933, 23.7614, 46.5122, 45.5016
Test 56, 28.8161, 55.6774, 53.7225, 6.6809, 12.3741, 11.3864, 22.1353, 43.3033, 42.3361 
Train 57, 45.2710, 60.7123, 56.1024, 7.4495, 13.1358, 11.3727, 25.2116, 47.5765, 44.7297
Test 57, 28.6643, 55.6640, 53.9994, 6.5877, 12.3063, 11.4372, 22.0766, 43.3577, 42.5622 
Train 58, 48.1619, 63.2540, 57.3889, 7.3610, 13.1636, 11.6053, 27.1986, 50.0904, 45.7836
Test 58, 28.6597, 55.6277, 53.9361, 6.5162, 12.2232, 11.4141, 22.1435, 43.4045, 42.5220 
Train 59, 45.0462, 60.6624, 56.5549, 7.0696, 12.7235, 11.3080, 25.3154, 47.9389, 45.2470
Test 59, 28.4550, 55.2989, 53.6878, 6.3758, 12.0214, 11.2912, 22.0792, 43.2775, 42.3966 
Train 60, 43.3303, 62.5319, 62.1355, 7.7370, 13.4992, 11.5244, 23.7271, 49.0327, 50.6111
Test 60, 28.4509, 55.1768, 53.4519, 6.3660, 12.0183, 11.3046, 22.0848, 43.1584, 42.1472 
Train 61, 42.0914, 61.5065, 62.0745, 7.2312, 13.0072, 11.5518, 23.2380, 48.4994, 50.5227
Test 61, 28.4776, 55.2201, 53.4852, 6.4293, 12.1084, 11.3582, 22.0483, 43.1117, 42.1269 
Train 62, 43.1885, 61.8362, 61.6280, 6.6991, 13.1735, 12.9488, 24.3231, 48.6627, 48.6792
Test 62, 28.5625, 55.7050, 54.2850, 6.4780, 12.2874, 11.6187, 22.0844, 43.4176, 42.6663 
Train 63, 41.9647, 60.2228, 60.1289, 6.5518, 12.4983, 11.8930, 23.6066, 47.7245, 48.2359
Test 63, 28.4090, 55.5616, 54.3053, 6.3470, 12.1615, 11.6291, 22.0620, 43.4002, 42.6763 
Train 64, 44.6784, 62.7961, 61.4321, 6.8910, 12.6576, 11.5333, 25.1891, 50.1385, 49.8988
Test 64, 28.3476, 55.2165, 53.7378, 6.2405, 11.8970, 11.3129, 22.1071, 43.3195, 42.4249 
Train 65, 45.3834, 62.1935, 59.6775, 6.3048, 12.1898, 11.7700, 26.0500, 50.0037, 47.9075
Test 65, 28.1545, 54.9095, 53.5099, 6.1008, 11.7356, 11.2697, 22.0538, 43.1739, 42.2402 
Train 66, 44.7707, 60.4402, 56.7848, 6.6076, 12.6004, 11.9856, 25.4402, 47.8398, 44.7992
Test 66, 28.5351, 55.1857, 53.3012, 6.3405, 11.8709, 11.0608, 22.1946, 43.3148, 42.2403 
Train 67, 44.6633, 63.6713, 63.2839, 6.7686, 12.3833, 11.2294, 25.2608, 51.2880, 52.0545
Test 67, 28.5689, 55.2503, 53.3628, 6.3918, 11.9406, 11.0976, 22.1771, 43.3097, 42.2652 
Train 68, 44.9772, 60.9212, 57.6420, 6.3536, 12.3185, 11.9297, 25.7466, 48.6027, 45.7122
Test 68, 28.2103, 54.8778, 53.3351, 6.1159, 11.6248, 11.0177, 22.0943, 43.2530, 42.3174 
Train 69, 43.6896, 62.1535, 61.7981, 6.3912, 12.4482, 12.1140, 24.8633, 49.7053, 49.6841
Test 69, 28.3012, 54.9840, 53.3657, 6.1838, 11.6866, 11.0057, 22.1174, 43.2974, 42.3600 
Train 70, 41.1847, 58.1275, 57.1854, 6.2409, 12.0455, 11.6092, 23.2939, 46.0820, 45.5762
Test 70, 28.2308, 54.9252, 53.3888, 6.0769, 11.5776, 11.0013, 22.1539, 43.3477, 42.3875 
Train 71, 42.6170, 61.5286, 62.1421, 6.1466, 11.9323, 11.5714, 24.3110, 49.5963, 50.5707
