Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 186, 35.8462, 49.7305, 49.5918, 5.1104, 10.1751, 10.1293, 19.8241, 39.5554, 39.4626
Test 186, 25.9237, 50.7561, 49.6648, 5.2559, 10.3244, 10.1371, 20.6679, 40.4317, 39.5277 
Train 187, 35.8393, 49.7199, 49.5784, 5.1113, 10.1845, 10.1463, 19.8194, 39.5354, 39.4320
Test 187, 26.0259, 50.7928, 49.5338, 5.3437, 10.4203, 10.1531, 20.6822, 40.3726, 39.3808 
Train 188, 35.8418, 49.7192, 49.5735, 5.1104, 10.1888, 10.1567, 19.8220, 39.5304, 39.4167
Test 188, 26.0389, 50.7701, 49.4622, 5.3302, 10.3927, 10.1248, 20.7087, 40.3774, 39.3374 
Train 189, 35.8179, 49.7149, 49.5946, 5.1112, 10.1845, 10.1465, 19.8064, 39.5304, 39.4481
Test 189, 26.0109, 50.8436, 49.6654, 5.3160, 10.3900, 10.1481, 20.6949, 40.4535, 39.5173 
Train 190, 35.8306, 49.7208, 49.5904, 5.1069, 10.1793, 10.1449, 19.8187, 39.5415, 39.4456
Test 190, 26.0636, 50.8885, 49.6497, 5.4082, 10.4671, 10.1178, 20.6554, 40.4213, 39.5319 
Train 191, 35.8077, 49.7158, 49.6106, 5.1058, 10.1888, 10.1660, 19.8047, 39.5270, 39.4446
Test 191, 25.9623, 50.7430, 49.5613, 5.2829, 10.3475, 10.1292, 20.6794, 40.3955, 39.4321 
Train 192, 35.8160, 49.7023, 49.5686, 5.1093, 10.1894, 10.1602, 19.8086, 39.5129, 39.4085
Test 192, 25.9985, 50.8257, 49.6543, 5.3283, 10.3923, 10.1280, 20.6702, 40.4334, 39.5263 
Train 193, 35.8341, 49.6861, 49.5151, 5.1052, 10.1657, 10.1210, 19.8233, 39.5204, 39.3942
Test 193, 26.0739, 50.8402, 49.5326, 5.3944, 10.4617, 10.1345, 20.6795, 40.3786, 39.3981 
Train 194, 35.8216, 49.6839, 49.5266, 5.1049, 10.1806, 10.1515, 19.8158, 39.5033, 39.3751
Test 194, 26.0198, 50.8424, 49.6453, 5.3693, 10.4406, 10.1426, 20.6505, 40.4018, 39.5027 
Train 195, 35.8027, 49.6925, 49.5674, 5.1041, 10.1751, 10.1420, 19.8046, 39.5174, 39.4255
Test 195, 26.0930, 50.9993, 49.8126, 5.3821, 10.4854, 10.2066, 20.7109, 40.5139, 39.6060 
Train 196, 35.7947, 49.6575, 49.5097, 5.1012, 10.1701, 10.1377, 19.8014, 39.4874, 39.3720
Test 196, 25.9137, 50.6729, 49.5183, 5.2798, 10.3255, 10.0914, 20.6339, 40.3474, 39.4269 
Train 197, 35.7692, 49.6567, 49.5384, 5.1038, 10.1676, 10.1277, 19.7837, 39.4891, 39.4107
Test 197, 25.9608, 50.7764, 49.6311, 5.3310, 10.3725, 10.0830, 20.6298, 40.4038, 39.5481 
Train 198, 35.7726, 49.6592, 49.5402, 5.0992, 10.1527, 10.1071, 19.7899, 39.5065, 39.4332
Test 198, 26.0521, 50.8138, 49.5234, 5.3778, 10.4315, 10.1073, 20.6743, 40.3823, 39.4161 
Train 199, 35.7838, 49.6539, 49.5148, 5.0988, 10.1583, 10.1189, 19.7978, 39.4957, 39.3958
Test 199, 25.9113, 50.6718, 49.5211, 5.3001, 10.3360, 10.0718, 20.6112, 40.3359, 39.4493 
Train 200, 35.7810, 49.6468, 49.4979, 5.1062, 10.1764, 10.1405, 19.7917, 39.4704, 39.3574
Test 200, 25.9983, 50.7947, 49.5929, 5.3573, 10.4111, 10.1075, 20.6409, 40.3836, 39.4853 
