Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 159, 36.0326, 49.8942, 49.7107, 5.1281, 10.2168, 10.1774, 19.9108, 39.6774, 39.5332
Test 159, 26.1557, 51.1313, 49.9511, 5.4163, 10.5315, 10.2304, 20.7394, 40.5998, 39.7207 
Train 160, 35.9925, 49.9372, 49.8440, 5.1348, 10.2346, 10.1997, 19.8804, 39.7026, 39.6443
Test 160, 26.0890, 51.0020, 49.8260, 5.3948, 10.4919, 10.1943, 20.6942, 40.5100, 39.6316 
Train 161, 36.0026, 49.8991, 49.7592, 5.1262, 10.2126, 10.1729, 19.8932, 39.6864, 39.5864
Test 161, 26.0054, 50.9932, 49.9755, 5.3309, 10.4423, 10.2230, 20.6746, 40.5509, 39.7526 
Train 162, 36.0239, 49.8837, 49.6968, 5.1282, 10.2109, 10.1654, 19.9071, 39.6728, 39.5314
Test 162, 26.0809, 51.0142, 49.8665, 5.3791, 10.5001, 10.2418, 20.7018, 40.5141, 39.6247 
Train 163, 36.0165, 49.8710, 49.6788, 5.1291, 10.2196, 10.1809, 19.9025, 39.6515, 39.4979
Test 163, 26.2275, 51.1598, 49.8647, 5.4760, 10.5770, 10.2020, 20.7515, 40.5829, 39.6627 
Train 164, 35.9652, 49.8818, 49.7740, 5.1194, 10.1951, 10.1514, 19.8753, 39.6866, 39.6226
Test 164, 26.1160, 51.0247, 49.8176, 5.4021, 10.4749, 10.1456, 20.7139, 40.5498, 39.6720 
Train 165, 35.9813, 49.8896, 49.7637, 5.1227, 10.2074, 10.1692, 19.8851, 39.6823, 39.5945
Test 165, 26.0125, 50.9457, 49.8664, 5.3714, 10.4707, 10.1987, 20.6412, 40.4750, 39.6677 
Train 166, 35.9576, 49.8782, 49.7716, 5.1192, 10.2054, 10.1723, 19.8732, 39.6728, 39.5992
Test 166, 26.0943, 51.0629, 49.9372, 5.3854, 10.4516, 10.1325, 20.7089, 40.6113, 39.8046 
Train 167, 35.9639, 49.8577, 49.7226, 5.1167, 10.1858, 10.1383, 19.8797, 39.6719, 39.5843
Test 167, 26.1145, 51.0566, 49.8842, 5.4170, 10.5198, 10.2055, 20.6974, 40.5368, 39.6787 
Train 168, 35.9546, 49.8523, 49.7220, 5.1174, 10.2037, 10.1727, 19.8739, 39.6486, 39.5493
Test 168, 26.0019, 51.0230, 50.0421, 5.3571, 10.4478, 10.1814, 20.6448, 40.5752, 39.8607 
Train 169, 35.9463, 49.8393, 49.7113, 5.1109, 10.1792, 10.1366, 19.8728, 39.6601, 39.5746
Test 169, 26.0501, 50.9116, 49.7230, 5.3620, 10.4234, 10.1228, 20.6882, 40.4882, 39.6002 
Train 170, 35.9175, 49.8464, 49.7596, 5.1137, 10.1828, 10.1381, 19.8529, 39.6636, 39.6215
Test 170, 26.0365, 50.9716, 49.8702, 5.2932, 10.3730, 10.1595, 20.7433, 40.5986, 39.7107 
Train 171, 35.9326, 49.8412, 49.7298, 5.1122, 10.1954, 10.1665, 19.8640, 39.6457, 39.5633
Test 171, 26.1675, 51.1085, 49.8820, 5.5057, 10.5760, 10.1406, 20.6617, 40.5325, 39.7415 
Train 172, 35.9479, 49.8163, 49.6591, 5.1122, 10.1945, 10.1646, 19.8746, 39.6218, 39.4945
Test 172, 26.0944, 50.9551, 49.7215, 5.3596, 10.4575, 10.1958, 20.7348, 40.4976, 39.5257 
Train 173, 35.8956, 49.8207, 49.7367, 5.1062, 10.1544, 10.0964, 19.8462, 39.6663, 39.6403
