Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 138, 36.2951, 50.2611, 50.0605, 5.5236, 10.9967, 10.9461, 19.7072, 39.2644, 39.1144
Test 138, 26.3448, 51.4619, 50.2342, 5.7950, 11.2939, 10.9979, 20.5498, 40.1680, 39.2364 
Train 139, 36.2934, 50.2514, 50.0444, 5.5186, 11.0050, 10.9728, 19.7107, 39.2465, 39.0716
Test 139, 26.3796, 51.5282, 50.2973, 5.8186, 11.3515, 11.0659, 20.5610, 40.1767, 39.2314 
Train 140, 36.2406, 50.2513, 50.1180, 5.5120, 10.9933, 10.9627, 19.6804, 39.2580, 39.1553
Test 140, 26.4479, 51.6308, 50.3659, 5.8480, 11.3601, 11.0243, 20.5999, 40.2707, 39.3416 
Train 141, 36.2634, 50.2332, 50.0533, 5.5101, 11.0032, 10.9863, 19.6965, 39.2300, 39.0670
Test 141, 26.5875, 51.7985, 50.4220, 6.0389, 11.5414, 11.0051, 20.5486, 40.2571, 39.4169 
Train 142, 36.2382, 50.2510, 50.1147, 5.5171, 10.9900, 10.9457, 19.6765, 39.2611, 39.1690
Test 142, 26.3638, 51.5048, 50.2820, 5.7886, 11.2909, 11.0046, 20.5752, 40.2138, 39.2774 
Train 143, 36.2506, 50.2148, 50.0324, 5.5099, 10.9944, 10.9690, 19.6887, 39.2204, 39.0634
Test 143, 26.4086, 51.5306, 50.2441, 5.8392, 11.3284, 10.9785, 20.5694, 40.2023, 39.2657 
Train 144, 36.2295, 50.2028, 50.0331, 5.5125, 10.9923, 10.9596, 19.6737, 39.2105, 39.0735
Test 144, 26.5441, 51.4783, 49.8684, 5.9483, 11.4417, 10.9868, 20.5958, 40.0366, 38.8816 
Train 145, 36.2210, 50.2053, 50.0538, 5.5048, 10.9804, 10.9512, 19.6736, 39.2249, 39.1026
Test 145, 26.3679, 51.5388, 50.3419, 5.7704, 11.2650, 10.9892, 20.5975, 40.2738, 39.3527 
Train 146, 36.2161, 50.1879, 50.0256, 5.5061, 10.9761, 10.9399, 19.6690, 39.2118, 39.0857
Test 146, 26.3733, 51.4749, 50.2031, 5.8353, 11.3162, 10.9618, 20.5380, 40.1587, 39.2413 
Train 147, 36.2251, 50.2211, 50.0793, 5.5099, 10.9787, 10.9376, 19.6716, 39.2424, 39.1416
Test 147, 26.3783, 51.5719, 50.3873, 5.8449, 11.3363, 10.9828, 20.5333, 40.2356, 39.4045 
Train 148, 36.1920, 50.1963, 50.0772, 5.5009, 10.9705, 10.9392, 19.6568, 39.2258, 39.1380
Test 148, 26.4465, 51.5679, 50.2428, 5.8657, 11.3666, 11.0017, 20.5808, 40.2014, 39.2411 
Train 149, 36.2201, 50.1712, 49.9924, 5.4977, 10.9652, 10.9350, 19.6773, 39.2060, 39.0574
Test 149, 26.2981, 51.4116, 50.2271, 5.7782, 11.2348, 10.9131, 20.5199, 40.1769, 39.3139 
Train 150, 36.2044, 50.1596, 49.9859, 5.5015, 10.9726, 10.9420, 19.6651, 39.1870, 39.0438
Test 150, 26.4268, 51.4873, 50.1209, 5.8190, 11.3129, 10.9879, 20.6078, 40.1744, 39.1330 
Train 151, 36.2010, 50.1667, 50.0051, 5.5013, 10.9687, 10.9348, 19.6629, 39.1980, 39.0702
Test 151, 26.4208, 51.5855, 50.3294, 5.7892, 11.2906, 11.0029, 20.6316, 40.2948, 39.3264 
Train 152, 36.1849, 50.1326, 49.9642, 5.4943, 10.9535, 10.9184, 19.6562, 39.1791, 39.0458
Test 152, 26.3091, 51.4792, 50.3403, 5.7593, 11.2611, 11.0037, 20.5498, 40.2180, 39.3365 
Train 153, 36.1666, 50.1351, 49.9951, 5.4922, 10.9526, 10.9208, 19.6454, 39.1825, 39.0742
Test 153, 26.4368, 51.5931, 50.3125, 5.9019, 11.3913, 10.9788, 20.5349, 40.2017, 39.3337 
Train 154, 36.1830, 50.1085, 49.9175, 5.4932, 10.9487, 10.9110, 19.6566, 39.1598, 39.0064
Test 154, 26.3712, 51.3893, 50.0363, 5.7946, 11.2452, 10.9013, 20.5766, 40.1441, 39.1350 
Train 155, 36.1648, 50.1322, 49.9891, 5.4933, 10.9593, 10.9320, 19.6444, 39.1730, 39.0571
Test 155, 26.4374, 51.6190, 50.3633, 5.8404, 11.3545, 11.0281, 20.5969, 40.2645, 39.3352 
Train 156, 36.1489, 50.1358, 50.0167, 5.4939, 10.9432, 10.8986, 19.6336, 39.1926, 39.1181
Test 156, 26.4677, 51.5963, 50.2572, 5.8554, 11.3413, 10.9716, 20.6122, 40.2550, 39.2855 
Train 157, 36.1773, 50.1352, 49.9779, 5.4940, 10.9596, 10.9312, 19.6522, 39.1756, 39.0467
Test 157, 26.4100, 51.5032, 50.1863, 5.8874, 11.3822, 10.9896, 20.5226, 40.1210, 39.1967 
Train 158, 36.1517, 50.1004, 49.9415, 5.4937, 10.9542, 10.9210, 19.6360, 39.1462, 39.0206
Test 158, 26.3449, 51.4437, 50.1976, 5.7595, 11.2755, 11.0320, 20.5854, 40.1682, 39.1656 
Train 159, 36.1553, 50.0545, 49.8492, 5.4872, 10.9469, 10.9194, 19.6426, 39.1075, 38.9298
Test 159, 26.4999, 51.5723, 50.1448, 5.9095, 11.3567, 10.8944, 20.5904, 40.2156, 39.2504 
Train 160, 36.1353, 50.0799, 49.9244, 5.4914, 10.9465, 10.9103, 19.6263, 39.1334, 39.0141
Test 160, 26.3460, 51.4961, 50.3003, 5.8010, 11.3124, 11.0228, 20.5450, 40.1837, 39.2775 
Train 161, 36.1586, 50.0800, 49.8987, 5.4849, 10.9395, 10.9091, 19.6457, 39.1405, 38.9896
Test 161, 26.3122, 51.3575, 50.0907, 5.7137, 11.2170, 11.0066, 20.5985, 40.1405, 39.0840 
Train 162, 36.1541, 50.0385, 49.8271, 5.4796, 10.9325, 10.9058, 19.6454, 39.1060, 38.9213
Test 162, 26.4586, 51.4487, 49.9801, 5.9131, 11.3916, 10.9569, 20.5455, 40.0571, 39.0232 
Train 163, 36.1566, 50.0330, 49.8064, 5.4851, 10.9308, 10.8914, 19.6447, 39.1022, 38.9150
Test 163, 26.5221, 51.5144, 49.9845, 5.9593, 11.4155, 10.9125, 20.5629, 40.0989, 39.0721 
Train 164, 36.1144, 50.0481, 49.8957, 5.4790, 10.9219, 10.8856, 19.6213, 39.1263, 39.0101
Test 164, 26.4392, 51.5266, 50.1748, 5.8599, 11.3357, 10.9516, 20.5793, 40.1909, 39.2232 
Train 165, 36.1019, 50.0462, 49.9110, 5.4757, 10.9222, 10.8930, 19.6150, 39.1240, 39.0180
